step,Energy,Magnet,acc,J
23300001,-1.19944,-0.99968,0.00033,1.19987
23400001,-1.19915,-0.99944,0.00042,1.19978
23500001,-1.19897,-0.99946,0.00027,1.19978
23600001,-1.19927,-0.9995,0.0003,1.1998
23700001,-1.19925,-0.99956,0.00035,1.19982
23800001,-1.19913,-0.9995,0.00033,1.1998
23900001,-1.19937,-0.99962,0.00026,1.19985
24000001,-1.19879,-0.9995,0.00038,1.1998
24100001,-1.19892,-0.99946,0.00042,1.19978
24200001,-1.19898,-0.9996,0.00035,1.19984
24300001,-1.19894,-0.9995,0.00037,1.1998
24400001,-1.19902,-0.99946,0.00038,1.19978
24500001,-1.19921,-0.99958,0.00028,1.19983
24600001,-1.19919,-0.99954,0.00028,1.19982
24700001,-1.19899,-0.99952,0.00039,1.19981
24800001,-1.19897,-0.99946,0.00043,1.19978
24900001,-1.19898,-0.99948,0.00051,1.19979
25000001,-1.19902,-0.99948,0.0004,1.19979
25100001,-1.19884,-0.9995,0.00047,1.1998
25200001,-1.19922,-0.99962,0.0004,1.19985
25300001,-1.19924,-0.99966,0.00028,1.19986
25400001,-1.19927,-0.99962,0.00038,1.19985
25500001,-1.19907,-0.9996,0.00031,1.19984
25600001,-1.19904,-0.99952,0.00032,1.19981
25700001,-1.19914,-0.99954,0.00029,1.19982
25800001,-1.199,-0.99942,0.00052,1.19977
25900001,-1.19921,-0.99958,0.00036,1.19983
26000001,-1.19918,-0.99964,0.00029,1.19986
26100001,-1.19888,-0.99948,0.00048,1.19979
26200001,-1.19888,-0.99948,0.00044,1.19979
26300001,-1.19919,-0.99966,0.00043,1.19986
26400001,-1.19905,-0.99954,0.00038,1.19982
26500001,-1.19902,-0.9996,0.00031,1.19984
26600001,-1.19918,-0.99964,0.00036,1.19986
26700001,-1.19902,-0.9996,0.00028,1.19984
26800001,-1.1989,-0.99952,0.00034,1.19981
26900001,-1.19926,-0.99958,0.00045,1.19983
27000001,-1.19934,-0.99966,0.00034,1.19986
27100001,-1.1992,-0.99968,0.00035,1.19987
27200001,-1.19899,-0.99952,0.00036,1.19981
27300001,-1.19902,-0.9996,0.00032,1.19984
27400001,-1.19907,-0.9996,0.00036,1.19984
27500001,-1.19894,-0.9995,0.00045,1.1998
27600001,-1.19909,-0.99964,0.00043,1.19986
27700001,-1.19904,-0.99952,0.00046,1.19981
27800001,-1.19933,-0.99952,0.00036,1.19981
